"(0, 4)",[ 0.88204971  1.52445581 36.96252603 -0.59940304]
"(1, 3)",[ 0.15874316  0.3301165  44.79476539 -0.56365025]
"(2, 2)",[-0.14981015 -0.20881    48.7067853  -0.30120818]
"(2, 0)",[60.36163564 18.412916   27.48858259 34.27305833]
"(3, -1)",[ 0.3613585   4.23283665  0.16020406 49.47288323]
"(4, 0)",[50.99393154 -0.81952924  5.08720042 -0.54666871]
"(3, 1)",[52.51188543  2.17272129  0.96414048  0.1500012 ]
"(5, 1)",[33.23792324 -0.9559384  -0.71702427 -0.69320287]
"(6, 0)",[36.12062095 -1.03547771 -1.01162655 -1.00260661]
"(5, -1)",[32.9522171  -0.68860343 -0.60479701  6.30900951]
"(4, 2)",[26.90213478 -0.73478213  4.3232884  -0.70356756]
"(3, 3)",[-0.66244543 -0.6909684  19.91170501 -0.67565163]
"(0, 3)",[-0.63703683 -0.6579672  46.21552039 -0.38418507]
"(-1, 5)",[ 1.15133759 -0.55647506 15.9004618  -0.53469766]
"(-1, 6)",[-1.133851   -1.08694608  6.77377209 -1.04395804]
"(0, 6)",[-1.22119101 -1.37741566  4.00716219 -1.21659722]
"(0, 5)",[-1.12209048 -1.03970691 21.4520448  -1.03745253]
"(1, 4)",[-0.52976472 -0.57497168 29.29029151 -0.62802824]
"(-1, 4)",[-0.40116352 -0.49282372 32.17809333 -0.77587342]
"(1, 7)",[-1.6976832  -1.70554491 -1.28923158 -1.73973192]
"(0, 7)",[-1.5543101  -1.51694989 -0.60694701 -1.53646481]
"(2, 7)",[-1.98001448 -2.05626869 -2.0560808  -2.03012924]
"(2, 5)",[-1.21199508 -1.23649039  1.45629599 -1.32240914]
"(2, 4)",[13.32884914 -0.81777636 -0.85022541 -0.97438439]
"(1, 6)",[-1.42799044 -1.38510586  0.17275997 -1.5267048 ]
"(1, 8)",[-1.90940459 -1.85388062 -1.9340209  -1.82876255]
"(0, 9)",[-1.66233936 -1.62781751 -1.63092284 -1.69650613]
"(-2, 9)",[-0.44054006 -0.55505941 -0.44285844 -0.5421459 ]
"(3, 0)",[47.58247093  9.96278878 16.46484969  8.00637714]
"(1, 1)",[13.87871826  6.99890787 61.93932066  9.87141944]
"(1, -1)",[16.14611714 15.2958297   9.3212046  59.05461111]
"(1, 0)",[45.33194297 38.83222161 35.46594755 37.00048127]
"(2, 1)",[10.47516052  4.47105374 46.23009537 10.31756742]
