"(-5, 2, 4, -2)",[ 0.  -0.1  0.   0. ]
"(-4, 2, 5, -2)",[ 0.   0.   0.  -0.1]
"(-4, 2, 5, -1)",[-0.1  0.   0.   0. ]
"(-5, 2, 4, -1)",[-0.1  0.   0.   0. ]
"(-5, 2, 3, -1)",[-0.1 -0.1  0.   0. ]
"(-4, 1, 4, -1)",[ 0.   0.  -0.1  0. ]
"(-3, 0, 4, -2)",[-0.1    -0.1    -0.1099 -0.1   ]
"(-1, 0, 5, -2)",[-0.31116807 -0.40313467 -0.42410774 -0.336885  ]
"(-1, 0, 6, -2)",[-0.271      -0.1999     -0.1999     -0.30858338]
"(0, -1, 7, -2)",[-0.370729  -0.3726001 -2.        -0.3636901]
"(0, -1, 6, -2)",[-0.51761934 -0.504298   -2.         -0.54570348]
"(0, 1, 6, -1)",[-0.41884732 -0.39753919 -2.187929   -0.47941974]
"(1, 2, 7, -1)",[-0.1197901 -0.1        0.         0.       ]
"(2, 3, 8, -1)",[ 0.   0.  -0.1  0. ]
"(2, 1, 8, -2)",[-0.1 -0.1  0.  -0.1]
"(1, 2, 8, -1)",[-0.1 -0.1  0.   0. ]
"(0, 3, 7, -1)",[ 0.   0.  -0.1  0. ]
"(0, 1, 7, -2)",[-0.1    -0.1    -0.1    -0.1099]
"(1, 2, 8, -2)",[-0.1  0.   0.   0. ]
"(-1, 2, 7, -2)",[ 0.   0.   0.  -0.1]
"(-2, 3, 7, -1)",[ 0.   0.  -0.1  0. ]
"(-2, 2, 7, -2)",[ 0.  -0.1 -0.1  0. ]
"(-2, 2, 7, -3)",[ 0.   0.   0.  -0.1]
"(0, 2, 8, -2)",[ 0.  -0.1  0.   0. ]
"(0, 2, 9, -2)",[ 0. -2.  0.  0.]
"(0, 3, 9, -2)",[-0.1  0.   0.   0. ]
"(-1, 3, 8, -2)",[ 0.   0.   0.  -0.1]
"(-1, 4, 8, -1)",[ 0.   0.  -0.1  0. ]
"(0, 3, 8, -2)",[ 0.   0.  -0.1  0. ]
"(-1, 2, 8, -3)",[ 0.    0.   -0.19  0.  ]
"(-1, 1, 8, -4)",[ 0.   0.   0.  -0.1]
"(-1, 0, 8, -4)",[-0.1 -0.1  0.   0. ]
"(-2, -1, 7, -4)",[-0.1  0.   0.   0. ]
"(-3, -2, 6, -4)",[ 0.   0.  -0.1  0. ]
"(-3, -4, 6, -5)",[ 0.   0.   0.  -0.1]
"(-2, -3, 6, -4)",[ 0.  -0.1  0.   0. ]
"(-2, -3, 7, -4)",[ 0.   0.   0.  -0.1]
"(-2, -2, 7, -3)",[-0.1  0.   0.   0. ]
"(-3, -1, 6, -3)",[ 0.   0.  -0.1  0. ]
