"(2, 2)",[ 32.08541897  51.08672582 128.11653171  27.50292291]
"(3, 3)",[  5.35084712   2.10765708 106.35669926  25.78889164]
"(4, 4)",[88.38824199  1.82927606 -0.33672181 -0.16761892]
"(6, 4)",[-1.61305326 -0.82640399 39.48696378 -1.67476803]
"(7, 4)",[26.67521595 -1.76604088 -1.81530393 -0.1011438 ]
"(7, 6)",[-2.31114757 -2.33167052  0.36444181 -2.28703869]
"(6, 6)",[-1.55506333 -2.32288479  4.03711982 -2.31310258]
"(6, 5)",[-1.99166417 -2.0249186  20.40561595 -2.03796161]
"(5, 4)",[ 2.53080056 -1.48838505 67.70910283 -1.32604825]
"(4, 3)",[98.10758563 10.82708528  2.74765694 -1.03148687]
"(5, 2)",[93.21352444  2.03320767 -0.7897438   2.75852208]
"(4, 1)",[  0.81197461   7.36438434 100.97118838  -0.74713871]
"(3, 2)",[111.90418966   9.58518606  13.80745922   8.09278301]
"(2, 1)",[ 76.15947636  64.74463977 115.61251337  69.88413629]
"(1, 2)",[ 83.37278239  59.33727164 118.48847127  85.99391261]
"(-1, 2)",[ 49.54979478 117.23004013  58.60254603  14.81752057]
"(-3, 2)",[-0.30039597 96.26354124 -0.20430065  3.50979548]
"(-2, 3)",[  5.3285012  107.08813608   5.09990134  -0.40241048]
"(0, 3)",[  9.33719143  37.51467076 116.02901611  22.22409906]
"(-1, 4)",[  4.42938503   5.17006699 103.10107703  -0.52834616]
"(-3, 4)",[-7.87681497e-02  9.29601107e+00  8.00770491e+01 -4.36489165e-01]
"(0, 5)",[ 2.84172806  3.513805   81.25006649 -0.46259162]
"(-1, 5)",[-0.87460574  4.26247148 95.43192431  2.44895949]
"(-2, 4)",[-0.48815155 13.33790283 94.56751988 -0.5687635 ]
"(-3, 3)",[-0.3376167   5.63193685 69.57082197  0.2256045 ]
"(-5, 3)",[-0.28981    -0.32563721 42.97122472 -0.40474827]
"(-4, 2)",[-0.28981    -0.32041943 95.23828507 -0.35281   ]
"(-3, 5)",[-0.58480015 50.26057316 -0.60866538 -0.60200616]
"(-5, 5)",[ 4.82716576 -0.29176922 -0.31580938 -0.3759981 ]
"(-3, 6)",[-0.62171141 -0.67141336 31.99991618 -0.66054833]
"(-2, 7)",[-0.7582288  -0.86896094 17.43036121 -0.73229254]
"(-3, 8)",[-0.4172737  -0.47479036  2.41168797 -0.46651222]
"(-2, 9)",[-0.63203714 -0.76395899 -0.75724027 -0.63145183]
"(-2, 8)",[-0.82917116 -0.69851677  7.86969237 -0.91138198]
"(-1, 7)",[-1.2710333  -1.23533967 32.39147446 -1.35202222]
"(-1, 9)",[-0.67350318 -0.66079791 -0.65922658 -0.82262948]
"(-2, 6)",[-1.0406476   1.62405355 66.34450536  0.41185196]
"(-1, 3)",[ 14.16304552  -0.49317375 128.19141005   9.72763327]
"(0, 4)",[  5.33630878   5.59468885 116.98480363  15.37948538]
"(1, 3)",[  2.23337387   9.88394165 128.56832275   1.63866959]
"(1, 1)",[ 80.8901441   72.03495814 142.34560185 103.95857677]
"(3, 1)",[127.67999692  12.10927265  16.81411537   9.85026804]
"(2, 0)",[137.01029616  57.61528934  85.02685405  71.27543388]
"(2, 4)",[  8.13632898   5.9903574  110.8145333    1.55594281]
"(4, 2)",[111.9182468   29.43809395   8.9859464   -0.62229151]
"(2, 3)",[ 12.4662269   14.7192412  112.49983641  18.9686773 ]
"(1, 4)",[-0.74930266 -0.78557466 99.79011341  5.22322387]
"(-2, 5)",[-0.58933681 -0.62307835 69.54398366 -0.57949436]
"(1, 6)",[-1.30909639 -1.32276974 40.78305367 -1.31290513]
"(2, 7)",[-1.52127328 -1.55471797  8.42270903 -1.56203852]
"(2, 5)",[-8.47786503e-01 -8.59565823e-01  6.49379942e+01 -2.85332758e-02]
"(2, 6)",[-1.38355645 -1.3333375  49.43751867 -1.27660838]
"(3, 5)",[ 5.98262591 -1.2665096  66.50493547 -1.17281139]
"(5, 3)",[-0.78016323 -1.09613879 81.05321937  3.50920674]
"(7, 5)",[-2.0195788  -2.03929935  6.42361405 -2.01656955]
"(8, 4)",[ 5.12939533 -1.94918467 -1.8821877  -1.89710408]
"(8, 5)",[ 2.07452963 -2.17555773 -2.18586551 -2.13781782]
"(5, 6)",[-1.89035402 -1.92479955  5.58245915 -1.90427124]
